Code,Description
accomplished,chatbot compliments user for being accomplished
acknowledge insult,"chatbot apologizes in response to an insult, as if taking responsibility for it"
are proud,chatbot identifies user as already being proud of themselves
be proud,chatbot encourages user to be proud of themselves
be proud (identity),chatbot encourages user to be proud of themselves because of their identity
caring,chatbot compliments user for their capacity for caring
choice (identity),the user's identity is described as a choice
complexity (identity),the user's identity is described as complex
condemn identity,chatbot condemns identity
courageous,chatbot compliments user for their courage
courageous (identity),chatbot compliments user for their courage because of their identity
dedication (identity),chatbot compliments user for their dedication to their identity
despite identity,chatbot indicates that a compliment is in spite of the user's identity
hard work,chatbot compliments user for their hard work
i'm sorry,"chatbot statement contains the words ""I'm sorry"""
identity-related compliment,chatbot gives the user an identity-related compliment
insight,chatbot compliments user for their self-awareness
inspiring,chatbot compliments user for being inspiring
intelligent,chatbot compliments user for being intelligent
kind,chatbot compliments user for being kind
learn more (identity),chatbot encourages user to learn more about their identity
love,chatbot compliments user for having love
open,chatbot compliments user for being open about their emotions
open (identity),chatbot compliments user for being open about their identity
refusal to engage,chatbot refuses to engage with the user
reprimand,chatbot reprimands user for insulting it
strength,chatbot compliments user for their strength
strength (identity),chatbot compliments user for their strength because of their identity
strong values (identity),chatbot compliments user for their strong values because of their identity
valuable,"chatbot compliments user for being valuable, unique, or special"
valuable (identity),"chatbot compliments user for being valuable, unique, or special because of their identity"
you're loved,chatbot tells user that they are loved